url,header,release time,article content,formatted date,neg,neu,pos,compound
https://www.reuters.com/article/us-volkswagen-results-q3/vw-lowers-2019-sales-outlook-as-demand-cools-idUSKBN1X90II,['VW lowers 2019 sales outlook as demand cools'],"['October 30, 2019 /  6:44 AM / in 6 months']","['FRANKFURT (Reuters) - Volkswagen (', ') lowered its full-year sales outlook on Wednesday, warning of slowing demand even as nine-month adjusted operating profit jumped 11.2% on increased demand for SUVs as well as Skoda and Porsche cars. ', 'The German carmaker said a slowdown in global demand would result in 2019 vehicle deliveries being in line with last year’s figures, adjusting its previous forecast for a slight rise. ', '“Despite the gain in market share, the Volkswagen Group anticipates that vehicle markets will contract faster than previously anticipated in many regions of the world,” it said. ', 'Increased demand for higher-margin VW Tiguan and Touareg models helped to offset an overall drop in sales of the VW brand in the nine months ending September, with Porsche and Skoda deliveries up 8% and 15.3% respectively. ', 'Revenue for its passenger cars division is still expected to rise 5% this year and the company reiterated that it expects  an operating profit margin for the passenger cars division and the group to be in the range of 6.5% to 7.5% for the full year. ', 'The updated guidance follows Ford’s cut this week to its operating profit forecast, blaming a slowdown in demand in China and other headwinds. ', 'Volkswagen said special items from legal risks, caused by the 2015 diesel emissions cheating scandal, had fallen to 1.3 billion euros ($1.45 billion) from 2.4 billion euros in the same period last year. ', 'Third-quarter adjusted operating profit jumped 37% to 4.82 billion euros, with analysts at Evercore ISI estimating Porsche’s profit margin at 16.8%, well ahead of Audi with 7.5% and the VW brand at 4.1%. ', '“The divisions beat expectations which will help the perception of quality of earnings,” Evercore’s Arndt Ellinghorst said in a note. ', 'Reporting by Edward Taylor; Editing by Michelle Martin and David Goodman']",2019-10-30 06:44:00,0.088,0.801,0.111,0.872
https://www.reuters.com/article/autonomous-tactile-mobility-porsche-hldg/porsche-invests-in-israeli-auto-tech-firm-tactile-mobility-idUSL8N27C0IE,['Porsche invests in Israeli auto tech firm Tactile Mobility'],"['October 29, 2019 /  4:04 AM / in 6 months']","['TEL AVIV, Oct 29 (Reuters) - Israeli automotive technology startup Tactile Mobility said on Tuesday it secured $9 million in funding from Porsche, Union Tech Ventures and previous investors. ', 'Tactile Mobility said it plans to use the funds, which could grow to $14 million, to further develop its technology and data offerings and expand marketing operations. ', 'Tactile Mobility develops software that uses a vehicle’s non-visual sensors, including wheel speed, wheel angle, RPM and gear position to help smart and autonomous vehicles “feel” vehicle-road dynamics and road conditions below their tires. ', 'In addition, the company said it crowdsources data regarding vehicle-road dynamics from vehicles equipped with its software to create a representation of each vehicle’s characteristics that can help maximize vehicle longevity, and a road conditions and hazards map layer. ', 'The company is collaborating with several manufacturers including Ford and Porsche as well as with municipalities and road authorities in the United States, Europe, and Asia. (Reporting by Tova Cohen Editing by Steven Scheer)']",2019-10-29 04:04:00,0.0,0.863,0.137,0.9652
https://www.reuters.com/article/brief-porsche-fy-group-profit-after-taxe/brief-porsche-fy-group-profit-after-taxes-up-at-eur-4-4-billion-idUSFWN2BH099,['BRIEF-Porsche FY Group Profit After Taxes Up At EUR 4.4 Billion'],"['March 24, 2020 /  9:13 AM / in 2 months']","['March 24 (Reuters) - PORSCHE AUTOMOBIL HOLDING SE : ', '* FY GROUP PROFIT AFTER TAXES INCREASES BY 26.3 PERCENT TO EUR 4.4 BILLION ', '* 2020 NET LIQUIDITY OF THE PORSCHE SE GROUP SHOULD BE BETWEEN EUR 0.4 BILLION AND EUR 0.9 BILLION WITHOUT TAKING FUTURE INVESTMENTS INTO ACCOUNT ', '* OUTLOOK 2020: POSITIVE CONSOLIDATED PROFIT AFTER TAXES OF BETWEEN 3.5 BILLION EUROS AND 4.5 BILLION EUROS ', '* FORECASTS FOR THE 2020 FINANCIAL YEAR ARE SUBJECT TO HIGH LEVELS OF UNCERTAINTY DUE TO CORONAVIRUS OUTBREAK ', '* FORECASTS OF PORSCHE SE FOR THE 2020 FINANCIAL YEAR ARE SUBJECT TO HIGH LEVELS OF UNCERTAINTY Source text for Eikon: Further company coverage: (Gdansk Newsroom)']",2020-03-24 09:13:00,0.05,0.857,0.093,0.7456
https://www.reuters.com/article/us-volkswagen-porsche/vw-porsche-to-recall-around-227000-cars-over-airbag-seatbelt-issues-report-idUSKBN1W4168,"['VW, Porsche to recall around 227,000 cars over airbag, seatbelt issues: report']","['September 19, 2019 /  10:17 AM / in 8 months']","['BERLIN (Reuters) - Volkswagen (', ') and Porsche have to recall around 227,000 cars due to problems with airbags and seatbelt pre-tensioners, Germany’s Stuttgarter Zeitung said on Thursday. ', 'The newspaper said the Tiguan, Sharan and CC models built in 2015 as well as Porsche 911, Boxter, Cayman and Panamera models from 2015 and 2016. It cited Germany’s KBA federal motor authority as saying the cars needed an update to the software of the airbag control units. ', 'Volkswagen (', ') said 227,000 VW and Porsche cars were affected, citing possible problems with airbags in some of them and adding that new software needed to be installed. ', 'A spokesman for Porsche said around 23,500 Porsche models could be affected by airbags or seatbelt pre-tensioners triggering even if the vehicle was not involved in an accident. It said the models affected were built in 2015 and 2016 and added that of the vehicles affected, around 3,900 were in Germany. ', 'Reporting by Michelle Martin in Berlin, Ilona Wissenbach in Frankfurt and Jan Schwartz in Hamburg; Editing by Madeline Chambers']",2019-09-19 10:17:00,0.08,0.902,0.018,-0.8591
https://www.reuters.com/article/us-volkswagen-management-blume/volkswagen-to-install-porsches-ceo-as-vw-brand-chief-auto-motor-and-sport-idUSKBN2391V7,"[""Volkswagen to install Porsche's CEO as VW brand chief: Auto Motor and Sport""]","['June 2, 2020 /  1:37 PM / 2 days ago']","['FRANKFURT (Reuters) - Volkswagen (', ') Chief Executive (CEO) Herbert Diess will promote Porsche CEO Oliver Blume to become head of the VW brand as part of a broader management reshuffle, Auto Motor und Sport said on Tuesday citing company sources. ', 'Blume will be moved to the VW brand to help the company get a grip on production issues with the VW ID3 electric car and the Golf 8, the auto industry publication said on Tuesday. ', 'Bernhard Maier, currently head of VW’s Skoda brand, will become head of Porsche, Auto Motor und Sport said. ', 'Herbert Diess is currently head of multi-brand Volkswagen Group as well as head of the VW brand. ', 'Volkswagen declined to comment. ', 'Reporting by Edward Taylor; Editing by Michelle Martin']",2020-06-02 13:37:00,0.0,0.943,0.057,0.7506
https://www.reuters.com/article/us-volkswagen-audi-results/audi-seeks-closer-ties-to-porsche-in-cost-cutting-drive-idUSKCN1QV13J,['Audi seeks closer ties to Porsche in cost-cutting drive'],"['March 14, 2019 /  9:08 AM / in a year']","['INGOLSTADT (Reuters) - Audi will make greater use of vehicle platforms and technologies developed with Porsche and Volkswagen as it embarks on a 15 billion euro cost cutting and efficiency drive, Chief Executive Bram Schot said on Thursday. ', 'Audi, whose slogan is Vorsprung Durch Technik or Advantage Through Technology, was a key research hub within Volkswagen Group until its engineers were caught developing the engine software which masked excessive pollution levels. ', 'Now new Chief Executive Schot is tasked with overhauling Audi and refocusing research efforts after senior engineers were forced out by the dieselgate scandal, which has cost parent company Volkswagen more than 28 billion euros. ', '“We are discussing what we do ourselves and where we share resources with other parts of Volkswagen. We ask ourselves: Do we need to do this in-house, is it standardized technology, and is it unique from the customer point of view,” Schot said. ', 'As part of group-wide savings efforts at Volkswagen, Audi has surrendered responsibility for developing driverless cars to engineers at VW in Hanover, Schot said, adding that Audi still retains responsibility for making semi-autonomous cars which still require drivers. ', 'Sources told Reuters in November that Audi may surrender its leadership in the area of developing self-driving cars as Volkswagen Group seeks to save costs. ', 'Further savings could come from deepening a research alliance with Porsche, another premium brand owned by parent company Volkswagen. ', '“We can intensify our collaboration with Porsche,” Schot said. Porsche and Audi are already developing vehicle underpinnings for a premium electric sportscar, known as PPE. This vehicle platform will spawn a raft of premium electric cars, the company said.  ', 'Audi will offer about 30 electric models by 2025, the company said. The customer response to these vehicles will help determine the scale of possible job cuts, the carmaker said. ', 'Audi workers have a job guarantee until 2025 but electric cars require fewer parts and fewer workers to assemble so Audi is working on a job cuts scheme which relies on voluntary redundancies through early retirement.  ', 'The carmaker declined to provide a figure for possible headcount reductions citing ongoing negotiations with labor representatives at Audi.  ', 'Audi, the premium brand owned by Volkswagen, said it expects to deliver an operating return on sales between 7 percent and 8.5 percent, below its long-term target, as costs for developing electric cars weigh on profits. ', 'Audi aims to deliver an operating return on sales of between 9 and 11 percent in the long term, the carmaker said on Thursday. ', 'Reporting by Edward Taylor; Editing by Riham Alkousaa and Michelle Martin']",2019-03-14 09:08:00,0.022,0.942,0.036,0.6486
https://www.reuters.com/article/us-volkswagen-management-blume/volkswagen-to-install-porsches-ceo-as-vw-brand-chief-auto-motor-and-sport-idUSKBN2391V7,"[""Volkswagen to install Porsche's CEO as VW brand chief: Auto Motor and Sport""]","['June 2, 2020 /  1:37 PM / in 10 days']","['FRANKFURT (Reuters) - Volkswagen (', ') Chief Executive (CEO) Herbert Diess will promote Porsche CEO Oliver Blume to become head of the VW brand as part of a broader management reshuffle, Auto Motor und Sport said on Tuesday citing company sources. ', 'Blume will be moved to the VW brand to help the company get a grip on production issues with the VW ID3 electric car and the Golf 8, the auto industry publication said on Tuesday. ', 'Bernhard Maier, currently head of VW’s Skoda brand, will become head of Porsche, Auto Motor und Sport said. ', 'Herbert Diess is currently head of multi-brand Volkswagen Group as well as head of the VW brand. ', 'Volkswagen declined to comment. ', 'Reporting by Edward Taylor; Editing by Michelle Martin']",2020-06-02 13:37:00,0.0,0.943,0.057,0.7506
https://www.reuters.com/article/us-porsche-recall/porsche-recalls-340000-cars-due-to-parking-problem-idUSKCN1TQ296,"['Porsche recalls 340,000 cars due to parking problem']","['June 25, 2019 /  4:54 PM / in a year']","['BERLIN (Reuters) - Volkswagen’s sports-car brand Porsche has to recall almost 340,000 Cayenne and Panamera vehicles due to problems with their automatic transmission, the German company said on Tuesday. ', 'A Porsche spokesman said the cars might roll when parked due to a potentially fragile part in the connection between the gear lever and transmission.  ', 'Almost 100,000 of the affected vehicles, which date back to 2002, are in the United States and almost 25,000 in Germany. ', 'Reporting by Ilona Wissenbach, writing by Emma Thomasson. Editing by Jane Merriman']",2019-06-25 16:54:00,0.047,0.923,0.03,-0.128
https://www.reuters.com/article/us-volkswagen-management-blume/volkswagen-to-install-porsches-ceo-as-vw-brand-chief-auto-motor-and-sport-idUSKBN2391V7,"[""Volkswagen to install Porsche's CEO as VW brand chief: Auto Motor and Sport""]","['June 2, 2020 /  1:37 PM / 16 days ago']","['FRANKFURT (Reuters) - Volkswagen (', ') Chief Executive (CEO) Herbert Diess will promote Porsche CEO Oliver Blume to become head of the VW brand as part of a broader management reshuffle, Auto Motor und Sport said on Tuesday citing company sources. ', 'Blume will be moved to the VW brand to help the company get a grip on production issues with the VW ID3 electric car and the Golf 8, the auto industry publication said on Tuesday. ', 'Bernhard Maier, currently head of VW’s Skoda brand, will become head of Porsche, Auto Motor und Sport said. ', 'Herbert Diess is currently head of multi-brand Volkswagen Group as well as head of the VW brand. ', 'Volkswagen declined to comment. ', 'Reporting by Edward Taylor; Editing by Michelle Martin']",2020-06-02 13:37:00,0.0,0.943,0.057,0.7506
https://www.reuters.com/article/us-volkswagen-management-blume/volkswagen-to-install-porsches-ceo-as-vw-brand-chief-auto-motor-and-sport-idUSKBN2391V7,"[""Volkswagen to install Porsche's CEO as VW brand chief: Auto Motor and Sport""]","['June 2, 2020 /  1:37 PM / 19 days ago']","['FRANKFURT (Reuters) - Volkswagen (', ') Chief Executive (CEO) Herbert Diess will promote Porsche CEO Oliver Blume to become head of the VW brand as part of a broader management reshuffle, Auto Motor und Sport said on Tuesday citing company sources. ', 'Blume will be moved to the VW brand to help the company get a grip on production issues with the VW ID3 electric car and the Golf 8, the auto industry publication said on Tuesday. ', 'Bernhard Maier, currently head of VW’s Skoda brand, will become head of Porsche, Auto Motor und Sport said. ', 'Herbert Diess is currently head of multi-brand Volkswagen Group as well as head of the VW brand. ', 'Volkswagen declined to comment. ', 'Reporting by Edward Taylor; Editing by Michelle Martin']",2020-06-02 13:37:00,0.0,0.943,0.057,0.7506
