url,header,release time,article content,formatted date,neg_vader_header,neu_vader_header,pos_vader_header,compound_vader_header,neg_vader_articel_content,neu_vader_articel_content,pos_vader_articel_content,compound_vader_articel_content
https://www.reuters.com/article/us-renault-psa-downgrade/sp-cuts-renault-bonds-to-junk-and-downgrades-outlook-on-psa-idUSKCN21R1OB,"[""S&P cuts Renault bonds to 'junk' and downgrades outlook on PSA""]","['April 9, 2020 /  11:25 AM / a month ago']","['PARIS (Reuters) - Credit rating agency Standard & Poor’s (S&P) delivered downgrades on Thursday to France’s top car companies Renault (', ') and PSA (', '), cutting Renault’s bonds to ‘junk’ status due to the impact of the new coronavirus. ', 'S&P downgraded Renault to ‘BB+/B’ from ‘BBB-/A-3’, meaning it had ascribed a “junk bond” status to those Renault corporate bonds. ', '“French automaker Renault has an ample liquidity cushion and can, in our view, count on guarantees from the French state,” S&P wrote in a research note. ', '“We nevertheless expect Renault’s earnings, free cash flow generation (FOCF), and financial position to weaken materially in 2020, following an already challenging 2019,” added S&P. ', 'S&P kept a BBB- rating on Peugeot-company PSA, but it cut its outlook on PSA to “negative” from “stable”. ', 'Shares in Renault and PSA were both down by around 1% in late session trading. ', 'Data earlier this month showed that French car registrations had dropped by more than 72% in March due to the coronavirus outbreak and lockdown ordered by authorities to fight the epidemic spread. ', 'Reporting by Sudip Kar-Gupta; Editing by Steve Orlofsky']",2020-04-09 11:25:00,0.18,0.82,0.0,-0.296,0.047,0.905,0.048,-0.1901
https://www.reuters.com/article/us-psa-results/peugeot-maker-psa-upbeat-on-strong-rebound-idUSKCN24T0JU,['Peugeot maker PSA upbeat on strong rebound'],"['July 28, 2020 /  5:46 AM / 6 days ago']","['PARIS (Reuters) - Peugeot maker PSA Group (', ') delivered a profit in the first half of the year even as the COVID-19 pandemic hit revenue, and said a strong sales rebound in June in its core European markets had extended into July. ', 'The French carmaker, which suffered like rivals as dealerships closed and which halted production as the outbreak spread from China to Europe and the United States, also said on Tuesday it was sticking with its mid-term profit margin target.  ', '“June has been a very strong rebound in sales and July is seeing a similar trend,” Financial Chief Philippe de Rovira told reporters.  ', 'Chief Executive Carlos Tavares added order books were “excellent” at the end of the first half, boosted by pent-up demand for new versions of its Peugeot 208 model and Opel’s Corsa after coronavirus lockdowns eased.  ', 'PSA shares were up more than 4% in early trading.  ', 'Data on Tuesday showed a surge in export expectations among German automakers, adding to signs of a strong sector recovery. However, troubled Japanese manufacturer Nissan (', ') forecast a record annual operating loss. ', 'PSA is in the middle of working through a merger agreement with Italy’s Fiat Chrysler Automobiles (FCA) (', '), which will open it up further to other markets like the United States.  ', 'The French group reiterated a goal for average margins of over 4.5% in its automotive unit for 2019-2021, even though these were down to 3.7% in the first half from 8.5% at the end of 2019.  ', 'PSA’s profitability has eclipsed that of some rivals including France’s Renault (', ') in recent quarters, helped by a focus on pricier models like SUVs.  ', 'Under Tavares, PSA has kept a lid on production costs, and executives said on Tuesday the operational breakeven point - which had reached 53%, meaning the firm could still generate cash with half its usual car volume - would be even lower in 2020.  ', 'The group’s net profit for the first half of 2020 also stayed in positive territory, at 595 million euros ($697  million), down from 1.83 billion euros a year ago.  ', 'Revenues, meanwhile, fell 34.5% to 25.12 billion euros. ', 'PSA said it was experimenting with more online sales, including with its own employees in France and across Europe, and expected this to become a growing part of its business.  ', 'Tavares told analysts the merger with FCA - set to create the world’s fourth largest carmaker under the name “Stellantis” - was still on course to close in the first quarter of 2021.     ', 'Earlier this month, European Union antitrust regulators  suspended their investigation into the proposed merger while waiting for data. ', 'Asked about possible concessions to get the deal over the line, Tavares said if anything needed to be done, it would be, adding PSA would not be “picky” and it was keeping an open mind in its discussions with the European Commission.  ', 'Competition authorities have been examining FCA and PSA’s combined market share in vans in particular. ', 'Reporting by Sarah White and Gilles Guillaume; Editing by Kim Coghill and Mark Potter']",2020-07-28 05:46:00,0.0,0.645,0.355,0.5106,0.028,0.873,0.1,0.9878
https://www.reuters.com/article/us-psa-outlook/peugeot-maker-psa-says-prepared-for-plunge-in-car-demand-idUSKBN2230MS,['Peugeot maker PSA says prepared for plunge in car demand'],"['April 21, 2020 /  6:13 AM / 21 days ago']","['PARIS (Reuters) - PSA (', ') has enough funds to cope with a halving in auto industry sales this year, the French carmaker said on Tuesday as it warned of a plunge in demand due to the coronavirus pandemic and said it would try to avoid tapping state aid if possible.  ', 'Like rivals across Europe and elsewhere, the Peugeot owner has shuttered plants as governments enforce lockdowns to fight the pandemic, while dealerships are also closed, grinding car sales to a halt.  ', 'PSA, which also makes Citroen, DS, Opel and Vauxhall vehicles, has not yet set a date to resume production in Europe, and executives said there was no point in adding to stock levels until vendors opened again.  ', 'PSA said 90% of its staff were on furlough or partial unemployment schemes, which in France for instance are government-funded, but has so far not resorted to other forms of state aid.  ', '“We want the company to be as free as possible of public dependence,” Financial Chief Philippe de Rovira told analysts, adding PSA had not asked for any government-guaranteed loans.  ', 'The company posted a 15.6% drop in first-quarter sales 15.2 billion euros ($16.3 billion), with European lockdowns only affecting the final few weeks. Analysts at Jefferies said PSA’s revenues had been more resilient than expected.  ', 'The group said it now expected auto sector sales to fall by 25% in Europe and Latin America this year, by 20% in Russia, and by 10% in China. But it added it had enough liquidity to deal with market decreases of over 50%.   ', 'At 1125 GMT, PSA shares were up 3.1% at 12.025 euros.   ', 'The French government has urged companies looking to tap state support to scrap or moderate dividend payments.  ', 'For PSA, any changes to planned payouts could also complicate a merger agreement with Fiat Chrysler (', '), which entailed dividend arrangements that would have to be re-approved by both firms.  ', 'PSA made no comment on progress with the merger on Tuesday and said the decision on its dividend was still up in the air. Its next shareholder meeting has been postponed to the end of June.  ', 'The company maintained its target for an average adjusted operating margin of over 4.5% for its automotive division over the 2019 to 2021 period, and said margins were unlikely to turn negative this year. ', 'PSA is slashing costs in areas like marketing and trying to find purchasing savings to counter the crisis.  ', 'Reporting by Gilles Guillaume and Sarah White; editing by Jason Neely and Mark Potter']",2020-04-21 06:13:00,0.0,0.826,0.174,0.2263,0.065,0.88,0.055,-0.1779
https://www.reuters.com/article/us-psa-agm/peugeot-ceo-says-merger-with-fiat-chrysler-on-track-idUSKBN23W1JB,['Peugeot CEO says merger with Fiat Chrysler on track'],"['June 25, 2020 /  10:19 AM / Updated an hour ago']","['PARIS (Reuters) - Peugeot maker PSA’s (', ') boss Carlos Tavares said on Thursday he was confident the merger of the French carmaker and Fiat Chrysler (FCA) (', ') would go ahead as planned and yield synergies of at least 3.7 billion euros ($4.2 billion). ', '“The timetable of the merger with FCA is being strictly respected,” Tavares told PSA’s annual shareholders meeting. ', 'He added he was confident the deal would be finalised during the first quarter 2021 “at the latest”. ', 'Commenting on expected synergies from the deal, he said 3.7 billion euros was a “floor”. ', 'Last week, European Union antitrust regulators opened a four-month investigation into the proposed $50 billion merger, saying it may harm competition in small vans in 14 EU countries and Britain. ', 'The two carmakers had declined to offer concessions to allay the EU competition enforcer’s concerns during its preliminary review of the deal. ', 'The deal has already received the green light in the United States, China, Japan and Russia. ', '($1 = 0.8906 euros) ', 'Reporting by Dominique Vidalon; Editing by Mark Potter']",2020-06-25 10:19:00,0.0,1.0,0.0,0.0,0.019,0.932,0.049,0.6908
https://www.reuters.com/article/us-psa-agm/peugeot-ceo-confident-fiat-chrysler-merger-is-on-track-idUSKBN23W1JB,['Peugeot CEO confident Fiat Chrysler merger is on track'],"['June 25, 2020 /  10:19 AM / a month ago']","['PARIS (Reuters) - PSA Chief Executive Carlos Tavares is confident a $50 billion merger of the maker of Peugeot vehicles with Fiat Chrysler (FCA) will proceed as planned and deliver synergies of at least 3.7 billion euros ($4.2 billion). ', 'The deal to create the world’s fourth-largest carmaker has become even more vital because of the impact of the coronavirus crisis and to speed up cost savings, Tavares told PSA’s (', ') annual shareholder meeting on Thursday. ', '“The merger with FCA (', ') is the best among the solutions to cope with the crisis and its uncertainties.” ', 'Global car sales have slumped as measures to contain the coronavirus pandemic forced production lines to shut and showrooms to close, with carmakers scrambling to conserve cash in the industry’s worst since the 2008-09 financial crisis.  ', 'Tavares also played down fresh European Union antitrust scrutiny of the planned merger, adding that he was confident it would be finalised in the first quarter 2021 “at the latest”. ', '“The timetable of the merger with FCA is being strictly respected,” he said, adding that projected synergies of 3.7 billion euros  from the deal was a “floor”. ', 'EU antitrust regulators last week began a four-month investigation into the deal, saying it may harm competition in small vans in 14 EU countries and Britain. ', 'The two carmakers declined to offer concessions to allay EU concerns during its preliminary review of the deal, which has already received the green light in the United States, China, Japan and Russia. ', 'Tavares said the “time has not come to discuss this issue” when asked if terms could be revised to reflect the downturn in the global auto industry, adding that the benefits of the deal must be appreciated over the long term and PSA was focused on the binding agreement with FCA.  ', 'PSA and FCA have however already revised one aspect of the merger. In May, they said that they would not pay their planned ordinary dividend on 2019 results, citing the negative impact of the pandemic.  ', 'A 1.1 billion euro ordinary dividend for both FCA and PSA was announced in December as part of their agreement. ', 'Reporting by Dominique Vidalon and Gilles Guillaume; Editing by Mark Potter and Alexander Smith']",2020-06-25 10:19:00,0.0,0.714,0.286,0.4939,0.063,0.84,0.097,0.8397
https://www.reuters.com/article/us-peugeot-poland/carmaker-psa-cuts-back-on-transfer-of-polish-workers-to-french-plant-idUSKBN23M20T,['Carmaker PSA cuts back on transfer of Polish workers to French plant'],"['June 15, 2020 /  2:17 PM / 10 days ago']","['PARIS (Reuters) - France’s PSA (', '), the maker of Peugeot cars, on Monday said it would only transfer a small group of Polish workers to help out in a French plant where production is being increased, following a backlash over the knock-on effect for local jobs.  ', 'Like rival auto firms, PSA is gradually cranking up its manufacturing capacity again following a shutdown caused by the coronavirus crisis.  ', 'But an initial plan to transfer salaried PSA workers from one of its Opel factories in Poland to work in France, rather than take on local temporary staff, who often pitch in at the plant, sparked criticism from unions and the French government.  ', 'PSA now planned to have a team of 2,000 in place at the Hordain factory made up of local workers, including temporary ones, while 5% of the total staff would be employees from other sites, including Poland, the carmaker said.  ', 'The CGT union put the number of Polish workers at 124, down from the 500 originally due to arrive for a stint in France.  ', 'France’s economy is expected to shrink 11% this year, with big job losses following the pandemic and ensuing lockdown, heightening sensitivity over labour wrangling. ', 'Reporting by Sarah White; editing by David Evans']",2020-06-15 14:17:00,0.167,0.833,0.0,-0.296,0.045,0.916,0.04,-0.4767
https://www.reuters.com/article/us-partnerre-m-a-exor/covea-needs-plan-b-after-exor-refuses-to-budge-on-partnerre-price-idUSKBN22P11F,['Covea needs plan B after Exor refuses to budge on PartnerRe price'],"['May 13, 2020 /  8:01 AM / in a month']","['PARIS/MILAN (Reuters) - Shares in French reinsurer Scor (', ') rose on Wednesday after its shareholder Covea dropped a planned $9 billion acquisition, rekindling speculation that Covea may turn its attentions to Scor again. ', 'Covea’s plan to buy re-insurer PartnerRe from the Exor (', ') holding firm of Italy’s Agnelli family collapsed late on Tuesday after the French company attempted to renegotiate the price due to the coronavirus crisis. ', 'The deal is the biggest involving a European buyer to collapse because of problems caused by the coronavirus pandemic which has brought a decline in the valuation of many assets. ', 'Analysts said the tough line on a price taken by Exor CEO John Elkann underlined that he would not accept any changes to the terms of Fiat Chrysler’s planned merger with French carmaker PSA (', '). ', 'Exor is the leading shareholder in FCA and Elkann is the chairman of the carmaker. ', '“Exor proves that it does not need to sell and sends a strong message to those who speculate over a review of the terms of the merger with PSA, showing it is not willing to change the conditions of the signed agreements,” said Martino De Ambroggi, an analyst with Equita. ', '“Perhaps also for this reason the option of a discount on PartnerRe was not taken into account”. ', 'Covea - which has the biggest market share in France in motor, legal protection and home insurance - had been on the hunt for acquisition targets to exploit its 16 billion euro ($17.4 billion) equity pile and an exceptionally high solvency ratio of 406%. ', 'After abandoning a bid for Scor in 2019, Covea decided to buy PartnerRe. ', 'However, PartnerRe reported last week a 433 million euros loss in the first quarter. In a statement on Tuesday Covea said it had informed Exor that it could not complete the purchase under the agreed terms. ', '“The cancellation of the Partner Re acquisition is a missed opportunity for Covea to significantly diversify its business profile,” Benjamin Serra, analyst at Moody’s ratings agency said in a note. ', '“However, this decision will allow the group to maintain a very high level of solvency and to absorb, without difficulty, the shocks resulting from the coronavirus outbreak”. ', 'Covea could not immediately be reached for comment on whether it would pursue other purchases or sit tight.  ', 'Exor said on Tuesday that the sale of PartnerRe - which it had defined as unsolicited - on terms inferior to those established in the initial agreement failed to reflect the value of the company. ', 'Scor’s share price had underperformed due to Covea’s planned acquisition, as investors feared that it would result in Covea disposing its 8.4% stake. ', '“Logically, cancellation of this transaction should reverse  some of those fears,” UBS analysts said. ', 'A Paris-based fund manager said that a decision by Covea would rekindle speculation of a bid for Scor, whose shares were up more than four percent. ', 'Reinsurers, which help insurers pay large damage claims in exchange for part of the profit, have been under pressure to consolidate after being squeezed by price competition and weak demand from insurers amid record low interest rates. ', 'Reporting by Maya Nikolaeva and Sudip Kar-Gupta in Paris, Agnieszka Flak and Giulio Piovaccari in Milan; Additional reporting by Carolyn Cohn in London; Editing by Elaine Hardcastle and Keith Weir']",2020-05-13 08:01:00,0.0,1.0,0.0,0.0,0.08,0.852,0.068,-0.7622
https://www.reuters.com/article/us-health-coronavirus-psa/peugeot-parent-secures-further-3-billion-euros-of-loans-idUSKBN21O0N8,['Peugeot parent secures further 3 billion euros of loans'],"['April 6, 2020 /  7:32 AM / a month ago']","['PARIS (Reuters) - Peugeot-owner PSA (', ') said on Monday it had secured a further 3 billion euros ($3.3 billion) of loans, strengthening its financial position in the wake of the hit to the global automotive industry from the coronavirus crisis. ', 'Carmakers worldwide have been badly affected by the health crisis, first as production stalled in China, where the virus originated, and now as it spreads in Europe, where some governments have ordered unprecedented lockdowns to contain it. ', 'Last month agency Moody’s placed the credit ratings of seven European auto makers including PSA and rival Renault (', ')  on review for downgrade, citing the coronavirus crisis.  ', 'The latest syndicated loans come on top of an existing 3 billion euros worth of undrawn credit lines. They have an initial maturity of 12 months, with two optional three-month extensions, the French group added. It did not say which banks were involved. ', '“This operation reinforces our ability to face up to this exceptional situation and prepare the future,” said PSA Chief Financial Officer Philippe de Rovira. “It also proves the confidence of our partner banks in the financial strength and recognized resilience of Groupe PSA.”  ', 'By 0910 GMT, PSA shares were up 8.3 percent amid a broader global equity market rally. ', 'Last month the French government told PSA and Renault they were entitled to help such as guarantees on loans and leeway on bills as it seeks to help companies cope with the fallout from the health crisis. PSA did not say if its latest loans had attracted any state support. ', 'PSA, which also makes the Citroen marque, has suspended output in all its European plants until March 27 and has not given a target date for restarting production.  ', 'PSA, which is in the midst of merging with Fiat Chrysler, has also postponed its annual shareholders’ meeting to June 25 from May 14. ', 'Separately, shares in Renault rose more than 8% after top executives from the Renault/Nissan alliance told the Wall Street Journal they intend to announce their programme for the next three years in mid-May and that billions of dollars in savings are planned.    ', 'Reporting by Sudip Kar-Gupta and Dominique Vidalon; Editing by Kirsten Donovan and David Holmes']",2020-04-06 07:32:00,0.0,0.753,0.247,0.3182,0.067,0.83,0.103,0.875
https://www.reuters.com/article/us-health-coronavirus-psa/french-carmaker-psa-to-re-start-production-gradually-over-this-week-idUSKBN22G156,['French carmaker PSA to re-start production gradually over this week'],"['May 4, 2020 /  10:30 AM / 5 days ago']","['PARIS (Reuters) - Peugeot carmaker PSA (', '), one of many car companies around the world to have been hit hard by the coronavirus, said on Monday that it would gradually restart production at sites over the course of this week. ', 'PSA said a first wave in the partial resumption in industrial activity would take place between May 4 and May 11, with French sites gradually re-starting from May 11 onwards. ', 'The company added it would have reinforced health and safety measures at sites, such as checking the temperatures of employees, and supplying masks, hydro-alcoholic gel and protective glasses, and social distancing between staff. ', 'Reporting by Sudip Kar-Gupta and Gilles Guillaume; Editing by Alex Richardson']",2020-05-04 10:30:00,0.0,1.0,0.0,0.0,0.012,0.964,0.024,0.34
https://www.reuters.com/article/us-health-coronavirus-psa/french-carmaker-psa-sets-up-fund-for-staff-and-new-health-check-measures-idUSKBN21Q0V7,['French carmaker PSA sets up fund for staff and new health check measures'],"['April 8, 2020 /  7:52 AM / a month ago']","['PARIS (Reuters) - French carmaker and Peugeot owner PSA (', ') announced on Wednesday the creation of a solidarity fund to help staff affected by the closures of plants due to the COVID-19 outbreak, and new steps to protect the health of its workers. ', 'PSA said it was creating the fund, ensuring the full compensation to all employees working in France during this period of partial activity due to the coronavirus. ', 'It will be funded through the deduction of two days of holidays from managers, one day from workers and by a contribution from the company, added PSA. ', 'This week, PSA secured a further 3 billion euros ($3.3 billion) in loans. ', 'Reporting by Sudip Kar-Gupta; editing by Jason Neely']",2020-04-08 07:52:00,0.0,1.0,0.0,0.0,0.012,0.84,0.148,0.9393
